 Total dimension =        38412
 n             i         j         k         Jab          Tab         Ttot
             1         1         1         1         0         0         1
             2         1         1         1         0         1         1
             3         1         1         1         0         1         3
             4         1         1         1         1         0         1
             5         1         1         1         1         1         1
             6         1         1         1         1         1         3
             7         1         1         2         0         0         1
             8         1         1         2         0         1         1
             9         1         1         2         0         1         3
            10         1         1         2         1         0         1
            11         1         1         2         1         1         1
            12         1         1         2         1         1         3
            13         1         1         3         0         0         1
            14         1         1         3         0         1         1
            15         1         1         3         0         1         3
            16         1         1         3         1         0         1
            17         1         1         3         1         1         1
            18         1         1         3         1         1         3
            19         1         1         4         0         0         1
            20         1         1         4         0         1         1
            21         1         1         4         0         1         3
            22         1         1         4         1         0         1
            23         1         1         4         1         1         1
            24         1         1         4         1         1         3
            25         1         1         5         0         0         1
            26         1         1         5         0         1         1
            27         1         1         5         0         1         3
            28         1         1         5         1         0         1
            29         1         1         5         1         1         1
            30         1         1         5         1         1         3
            31         1         1         6         0         0         1
            32         1         1         6         0         1         1
            33         1         1         6         0         1         3
            34         1         1         6         1         0         1
            35         1         1         6         1         1         1
            36         1         1         6         1         1         3
            37         1         1         7         0         0         1
            38         1         1         7         0         1         1
            39         1         1         7         0         1         3
            40         1         1         7         1         0         1
            41         1         1         7         1         1         1
            42         1         1         7         1         1         3
            43         1         1         8         0         0         1
            44         1         1         8         0         1         1
            45         1         1         8         0         1         3
            46         1         1         8         1         0         1
            47         1         1         8         1         1         1
            48         1         1         8         1         1         3
            49         1         1         9         0         0         1
            50         1         1         9         0         1         1
            51         1         1         9         0         1         3
            52         1         1         9         1         0         1
            53         1         1         9         1         1         1
            54         1         1         9         1         1         3
            55         1         1        10         0         0         1
            56         1         1        10         0         1         1
            57         1         1        10         0         1         3
            58         1         1        10         1         0         1
            59         1         1        10         1         1         1
            60         1         1        10         1         1         3
            61         1         1        11         0         0         1
            62         1         1        11         0         1         1
            63         1         1        11         0         1         3
            64         1         1        11         1         0         1
            65         1         1        11         1         1         1
            66         1         1        11         1         1         3
            67         1         1        12         0         0         1
            68         1         1        12         0         1         1
            69         1         1        12         0         1         3
            70         1         1        12         1         0         1
            71         1         1        12         1         1         1
            72         1         1        12         1         1         3
            73         1         1        13         0         0         1
            74         1         1        13         0         1         1
            75         1         1        13         0         1         3
            76         1         1        13         1         0         1
            77         1         1        13         1         1         1
            78         1         1        13         1         1         3
            79         1         1        14         0         0         1
            80         1         1        14         0         1         1
            81         1         1        14         0         1         3
            82         1         1        14         1         0         1
            83         1         1        14         1         1         1
            84         1         1        14         1         1         3
            85         1         1        15         0         0         1
            86         1         1        15         0         1         1
            87         1         1        15         0         1         3
            88         1         1        15         1         0         1
            89         1         1        15         1         1         1
            90         1         1        15         1         1         3
            91         1         1        16         0         0         1
            92         1         1        16         0         1         1
            93         1         1        16         0         1         3
            94         1         1        16         1         0         1
            95         1         1        16         1         1         1
            96         1         1        16         1         1         3
            97         1         1        17         0         0         1
            98         1         1        17         0         1         1
            99         1         1        17         0         1         3
           100         1         1        17         1         0         1
           101         1         1        17         1         1         1
           102         1         1        17         1         1         3
           103         1         1        18         0         0         1
           104         1         1        18         0         1         1
           105         1         1        18         0         1         3
           106         1         1        18         1         0         1
           107         1         1        18         1         1         1
           108         1         1        18         1         1         3
           109         1         1        19         0         0         1
           110         1         1        19         0         1         1
           111         1         1        19         0         1         3
           112         1         1        19         1         0         1
           113         1         1        19         1         1         1
           114         1         1        19         1         1         3
           115         1         1        20         0         0         1
           116         1         1        20         0         1         1
           117         1         1        20         0         1         3
           118         1         1        20         1         0         1
           119         1         1        20         1         1         1
           120         1         1        20         1         1         3
           121         1         1        21         0         0         1
           122         1         1        21         0         1         1
           123         1         1        21         0         1         3
           124         1         1        21         1         0         1
           125         1         1        21         1         1         1
           126         1         1        21         1         1         3
           127         1         1        22         0         0         1
           128         1         1        22         0         1         1
           129         1         1        22         0         1         3
           130         1         1        22         1         0         1
           131         1         1        22         1         1         1
           132         1         1        22         1         1         3
           133         1         1        23         0         0         1
           134         1         1        23         0         1         1
           135         1         1        23         0         1         3
           136         1         1        23         1         0         1
           137         1         1        23         1         1         1
           138         1         1        23         1         1         3
           139         1         1        24         0         0         1
           140         1         1        24         0         1         1
           141         1         1        24         0         1         3
           142         1         1        24         1         0         1
           143         1         1        24         1         1         1
           144         1         1        24         1         1         3
           145         1         1        25         0         0         1
           146         1         1        25         0         1         1
           147         1         1        25         0         1         3
           148         1         1        25         1         0         1
           149         1         1        25         1         1         1
           150         1         1        25         1         1         3
           151         1         1        26         0         0         1
           152         1         1        26         0         1         1
           153         1         1        26         0         1         3
           154         1         1        26         1         0         1
           155         1         1        26         1         1         1
           156         1         1        26         1         1         3
           157         1         1        27         0         0         1
           158         1         1        27         0         1         1
           159         1         1        27         0         1         3
           160         1         1        27         1         0         1
           161         1         1        27         1         1         1
           162         1         1        27         1         1         3
           163         1         1        28         0         0         1
           164         1         1        28         0         1         1
           165         1         1        28         0         1         3
           166         1         1        28         1         0         1
           167         1         1        28         1         1         1
           168         1         1        28         1         1         3
           169         1         1        29         0         0         1
           170         1         1        29         0         1         1
           171         1         1        29         0         1         3
           172         1         1        29         1         0         1
           173         1         1        29         1         1         1
           174         1         1        29         1         1         3
           175         1         1        30         0         0         1
           176         1         1        30         0         1         1
           177         1         1        30         0         1         3
           178         1         1        30         1         0         1
           179         1         1        30         1         1         1
           180         1         1        30         1         1         3
           181         1         1        31         0         0         1
           182         1         1        31         0         1         1
           183         1         1        31         0         1         3
           184         1         1        31         1         0         1
           185         1         1        31         1         1         1
           186         1         1        31         1         1         3
           187         1         1        32         0         0         1
           188         1         1        32         0         1         1
           189         1         1        32         0         1         3
           190         1         1        32         1         0         1
           191         1         1        32         1         1         1
           192         1         1        32         1         1         3
           193         1         1        33         0         0         1
           194         1         1        33         0         1         1
           195         1         1        33         0         1         3
           196         1         1        33         1         0         1
           197         1         1        33         1         1         1
           198         1         1        33         1         1         3
           199         1         1        34         0         0         1
           200         1         1        34         0         1         1
           201         1         1        34         0         1         3
           202         1         1        34         1         0         1
           203         1         1        34         1         1         1
           204         1         1        34         1         1         3
           205         1         1        35         0         0         1
           206         1         1        35         0         1         1
           207         1         1        35         0         1         3
           208         1         1        35         1         0         1
           209         1         1        35         1         1         1
           210         1         1        35         1         1         3
           211         1         1        36         0         0         1
           212         1         1        36         0         1         1
