              n,     l,    2*j,      Tz,     qei,  ui,      vi
    0    0    1    1     34.77769      0.00000      1.00000
    0    1    3    1     14.73230      0.00000      1.00000
    0    1    1    1      4.97860      0.00000      1.00000
    0    2    5    1      4.97860      1.00000      0.00000
    1    0    1    1     12.17173      1.00000      0.00000
    0    2    3    1     17.51571      1.00000      0.00000
    0    3    7    1     19.96302      1.00000      0.00000
    1    1    3    1     23.24713      1.00000      0.00000
    1    1    1    1     27.28589      1.00000      0.00000
    0    3    5    1     31.40368      1.00000      0.00000
