              n,     l,    2*j,      Tz,     qei,  ui,      vi
    0    0    1   -1     34.72608      0.00000      1.00000
    0    1    3   -1     14.75810      0.00000      1.00000
    0    1    1   -1      5.14530      0.00000      1.00000
    0    2    5   -1      5.14529      1.00000      0.00000
    1    0    1   -1     12.42152      1.00000      0.00000
    0    2    3   -1     17.59687      1.00000      0.00000
    0    3    7   -1     19.91645      1.00000      0.00000
    1    1    3   -1     23.32696      1.00000      0.00000
    1    1    1   -1     27.43535      1.00000      0.00000
    0    3    5   -1     31.30172      1.00000      0.00000
